date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:25:09	63242/63242	---M--	200	added ('OK')	image/jpeg	etag:%22642054b-f70a-5a6e5e1f1e000%22	http://saintanthonytrust.com/images/home-img1.jpg	C:/My%20Web%20Sites/anthny/saintanthonytrust.com/images/home-img1.jpg	(from http://saintanthonytrust.com/)
13:25:09	27521/27521	---M--	200	added ('OK')	image/jpeg	etag:%226420542-6b81-5a6e5e13ac500%22	http://saintanthonytrust.com/images/cont-img1.jpg	C:/My%20Web%20Sites/anthny/saintanthonytrust.com/images/cont-img1.jpg	(from http://saintanthonytrust.com/)
13:25:11	93/93	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Jun%202020%2007:55:11%20GMT	http://saintanthonytrust.com/jquery.js	C:/My%20Web%20Sites/anthny/saintanthonytrust.com/jquery.1a.delayed	(from http://saintanthonytrust.com/enquiry.html)
13:25:12	162/162	---M--	403	error ('Forbidden')	text/html	date:Fri,%2026%20Jun%202020%2007:55:12%20GMT	http://v3hyundai.com/images/ajax-loader.gif	C:/My%20Web%20Sites/anthny/v3hyundai.com/images/ajax-loader.1b.delayed	(from http://saintanthonytrust.com/enquiry.html)
13:25:13	27358/27358	---M--	200	added ('OK')	image/jpeg	etag:%226420540-6ade-5a6e5e083aa00%22	http://saintanthonytrust.com/images/cont-img_2.jpg	C:/My%20Web%20Sites/anthny/saintanthonytrust.com/images/cont-img_2.jpg	(from http://saintanthonytrust.com/)
13:25:13	25959/25959	---M--	200	added ('OK')	image/jpeg	etag:%226420541-6567-5a6e5e1594980%22	http://saintanthonytrust.com/images/cont-img_3.jpg	C:/My%20Web%20Sites/anthny/saintanthonytrust.com/images/cont-img_3.jpg	(from http://saintanthonytrust.com/)
13:25:21	186184/186184	---M--	200	added ('OK')	image/jpeg	etag:%22640af89-2d748-5a70abeee3e62%22	http://saintanthonytrust.com/images/Orphans%201.jpg	C:/My%20Web%20Sites/anthny/saintanthonytrust.com/images/Orphans%201.jpg	(from http://saintanthonytrust.com/)
13:25:21	51961/51961	---M--	200	added ('OK')	image/jpeg	etag:%22640b09f-caf9-5a755c3b3f527%22	http://saintanthonytrust.com/images/banner_cont.jpg	C:/My%20Web%20Sites/anthny/saintanthonytrust.com/images/banner_cont.jpg	(from http://saintanthonytrust.com/enquiry.html)
13:25:25	68698/68698	---M--	200	added ('OK')	image/jpeg	etag:%226420534-10c5a-5a6e5df33f880%22	http://saintanthonytrust.com/images/about-img3.jpg	C:/My%20Web%20Sites/anthny/saintanthonytrust.com/images/about-img3.jpg	(from http://saintanthonytrust.com/about_us.html)
13:25:26	83362/83362	---M--	200	added ('OK')	image/jpeg	etag:%22642053c-145a2-5a6e5e0281c80%22	http://saintanthonytrust.com/images/banner-about.jpg	C:/My%20Web%20Sites/anthny/saintanthonytrust.com/images/banner-about.jpg	(from http://saintanthonytrust.com/about_us.html)
13:25:30	56561/56561	---M--	200	added ('OK')	image/jpeg	etag:%226420533-dcf1-5a6e5df157400%22	http://saintanthonytrust.com/images/about-img2.jpg	C:/My%20Web%20Sites/anthny/saintanthonytrust.com/images/about-img2.jpg	(from http://saintanthonytrust.com/about_us.html)
13:25:34	77045/77045	---M--	200	added ('OK')	image/jpeg	etag:%22642053b-12cf5-5a6e5dfae0a80%22	http://saintanthonytrust.com/images/banner_why.jpg	C:/My%20Web%20Sites/anthny/saintanthonytrust.com/images/banner_why.jpg	(from http://saintanthonytrust.com/why_us.html)
13:25:35	54584/54584	---M--	200	added ('OK')	image/jpeg	etag:%22640b07a-d538-5a755cf4ade74%22	http://saintanthonytrust.com/images/banner.jpg	C:/My%20Web%20Sites/anthny/saintanthonytrust.com/images/banner.jpg	(from http://saintanthonytrust.com/our_works.html)
13:25:39	53411/53411	---M--	200	added ('OK')	image/jpeg	etag:%226420551-d0a3-5a6e5e26bf200%22	http://saintanthonytrust.com/images/ourwrk.jpg	C:/My%20Web%20Sites/anthny/saintanthonytrust.com/images/ourwrk.jpg	(from http://saintanthonytrust.com/our_works.html)
13:25:39	90632/90632	---M--	200	added ('OK')	image/jpeg	etag:%226420557-16208-5a6e5e3f8ac80%22	http://saintanthonytrust.com/images/why-img2.jpg	C:/My%20Web%20Sites/anthny/saintanthonytrust.com/images/why-img2.jpg	(from http://saintanthonytrust.com/why_us.html)
13:25:42	41250/41250	---M--	200	added ('OK')	image/jpeg	etag:%22640b06b-a122-5a755ae50833c%22	http://saintanthonytrust.com/images/banner_suggestion.jpg	C:/My%20Web%20Sites/anthny/saintanthonytrust.com/images/banner_suggestion.jpg	(from http://saintanthonytrust.com/suggestions.html)
13:25:43	56605/56605	---M--	200	added ('OK')	image/jpeg	etag:%22642054c-dd1d-5a6e5e24d6d80%22	http://saintanthonytrust.com/images/home-img2.jpg	C:/My%20Web%20Sites/anthny/saintanthonytrust.com/images/home-img2.jpg	(from http://saintanthonytrust.com/our_works.html)
13:25:49	51393/51393	---M--	200	added ('OK')	image/jpeg	etag:%22640b08c-c8c1-5a755adf60317%22	http://saintanthonytrust.com/images/banner_faq.jpg	C:/My%20Web%20Sites/anthny/saintanthonytrust.com/images/banner_faq.jpg	(from http://saintanthonytrust.com/faq.html)
13:25:53	91217/91217	---M--	200	added ('OK')	image/jpeg	etag:%226420552-16451-5a6e5e3da2800%22	http://saintanthonytrust.com/images/succ-img1.jpg	C:/My%20Web%20Sites/anthny/saintanthonytrust.com/images/succ-img1.jpg	(from http://saintanthonytrust.com/suggestions.html)
13:25:56	87861/87861	---M--	200	added ('OK')	image/jpeg	etag:%226420546-15735-5a6e5e177ce00%22	http://saintanthonytrust.com/images/faq-img1.jpg	C:/My%20Web%20Sites/anthny/saintanthonytrust.com/images/faq-img1.jpg	(from http://saintanthonytrust.com/faq.html)
13:25:58	58362/58362	---M--	200	added ('OK')	image/jpeg	etag:%226420555-e3fa-5a6e5e3419180%22	http://saintanthonytrust.com/images/vs-img1.jpg	C:/My%20Web%20Sites/anthny/saintanthonytrust.com/images/vs-img1.jpg	(from http://saintanthonytrust.com/vision.html)
13:25:59	14918/14918	---M--	200	added ('OK')	image/jpeg	etag:%226420553-3a46-5a6e5e3bba380%22	http://saintanthonytrust.com/images/swalflogo.jpg	C:/My%20Web%20Sites/anthny/saintanthonytrust.com/images/swalflogo.jpg	(from http://saintanthonytrust.com/contact.html)
13:26:04	31029/31029	---M--	200	added ('OK')	image/jpeg	etag:%22642053f-7935-5a6e5e046a100%22	http://saintanthonytrust.com/images/contect-img1.jpg	C:/My%20Web%20Sites/anthny/saintanthonytrust.com/images/contect-img1.jpg	(from http://saintanthonytrust.com/contact.html)
13:26:08	126057/126057	---M--	200	added ('OK')	image/jpeg	etag:%22640b096-1ec69-5a755b301a5e2%22	http://saintanthonytrust.com/images/banner-doners.jpg	C:/My%20Web%20Sites/anthny/saintanthonytrust.com/images/banner-doners.jpg	(from http://saintanthonytrust.com/donors.html)
13:26:08	211239/211239	---M--	200	added ('OK')	image/jpeg	etag:%22642053a-33927-5a6e5df8f8600%22	http://saintanthonytrust.com/images/banner_vis1.jpg	C:/My%20Web%20Sites/anthny/saintanthonytrust.com/images/banner_vis1.jpg	(from http://saintanthonytrust.com/vision.html)
